id,is_automatic,release_year,is_new,color,price,volume_of_engine,brand,model
1,true,2022,true,silver,17500000,3,Toyota,Camry
2,false,2019,false,black,10500000,2.5,Honda,Accord
3,true,2021,true,white,12200000,2,Nissan,Sentra
4,false,2017,false,gray,9000000,1.8,Hyundai,Elantra
5,true,2022,true,blue,14500000,2.5,Toyota,Avalon
6,false,2015,false,red,7500000,1.5,Honda,Civic
7,true,2020,false,black,13200000,3.5,Nissan,Maxima
8,false,2016,false,silver,8200000,2,Hyundai,Sonata
9,true,2022,true,white,18800000,5.7,Toyota,Land Cruiser
10,false,2018,false,blue,9700000,2.4,Honda,CR-V
11,true,2021,true,red,15300000,2,Nissan,Altima
12,false,2014,false,gray,6900000,1.8,Hyundai,Accent
13,true,2022,true,black,21000000,4.5,Toyota,Tundra
14,false,2017,false,white,8500000,2.5,Honda,Pilot
15,true,2020,false,blue,12900000,2.5,Nissan,Rogue
16,false,2016,false,red,7800000,2.4,Hyundai,Tucson
17,true,2022,true,silver,13500000,2.5,Toyota,Corolla
18,false,2019,false,black,10200000,2.4,Honda,Odyssey
19,true,2021,true,white,11800000,2.5,Nissan,Murano
20,false,2015,false,gray,7100000,1.6,Hyundai,Veloster
22,false,2018,false,red,9400000,2,Honda,Fit
23,true,2020,false,black,12700000,2.5,Nissan,Pathfinder
24,false,2014,false,silver,6800000,1.5,Hyundai,i20
25,true,2022,true,white,19800000,4.7,Toyota,Sequoia
26,false,2017,false,blue,8900000,2.4,Honda,HR-V
27,true,2021,true,red,14100000,2.5,Nissan,Kicks
28,false,2016,false,black,7600000,1.6,Hyundai,Accent
29,true,2022,true,gray,15200000,2.5,Toyota,Rav4
30,false,2019,false,white,9800000,2,Honda,Civic
31,true,2022,true,black,18200000,3.5,Toyota,Sienna
32,false,2018,false,silver,11500000,2.4,Honda,Accord Hybrid
33,true,2021,true,red,12800000,2,Nissan,Versa
34,false,2015,false,gray,7200000,1.5,Hyundai,Elantra GT
35,true,2022,true,blue,15500000,3,Toyota,Camry Hybrid
36,false,2017,false,black,8700000,2.5,Honda,CR-V Hybrid
37,true,2020,false,white,14200000,3.5,Nissan,Pathfinder
38,false,2016,false,red,7900000,2.4,Hyundai,Sonata Hybrid
39,true,2022,true,silver,19500000,4.7,Toyota,Land Cruiser Prado
40,false,2018,false,blue,10100000,2.4,Honda,HR-V
41,true,2021,true,black,14800000,2.5,Nissan,Altima AWD
42,false,2014,false,gray,6700000,1.8,Hyundai,Accent Hatchback
43,true,2022,true,white,22500000,5.7,Toyota,Sequoia Platinum
44,false,2017,false,silver,8300000,2.5,Honda,Odyssey
45,true,2020,false,blue,13300000,2.5,Nissan,Rogue Sport
46,false,2016,false,red,7600000,2.4,Hyundai,Tucson Sport
47,true,2022,true,gray,14200000,2.5,Toyota,Corolla Cross
48,false,2019,false,black,10800000,2.4,Honda,Civic Type R
49,true,2021,true,white,12500000,2.5,Nissan,Sentra SR
50,false,2015,false,gray,7300000,1.6,Hyundai,Accent Sedan
51,true,2022,true,black,19500000,4,Toyota,4Runner
52,false,2018,false,gray,12500000,2,Honda,Crosstour
53,true,2021,true,red,15900000,2.5,Nissan,Frontier
54,false,2016,false,silver,8100000,1.6,Hyundai,Accent
55,true,2022,true,white,17900000,3.5,Toyota,Tacoma
56,false,2019,false,black,9700000,1.8,Honda,Civic
57,true,2021,true,blue,13500000,2,Nissan,Versa
58,false,2015,false,red,7100000,1.6,Hyundai,Elantra
59,true,2022,true,silver,22500000,5.7,Toyota,Sequoia
60,false,2017,false,gray,9400000,2.4,Honda,Accord
61,true,2021,true,white,14900000,3.5,Nissan,Pathfinder
62,false,2014,false,blue,6800000,1.6,Hyundai,Accent
63,true,2022,true,black,21900000,4,Toyota,Land Cruiser Prado
64,false,2018,false,gray,12500000,2,Honda,HR-V
65,true,2021,true,red,16300000,2.5,Nissan,Sentra
66,false,2015,false,silver,7100000,1.6,Hyundai,Accent
67,true,2022,true,white,18500000,3.5,Toyota,RAV4 Prime
68,false,2019,false,black,10100000,1.5,Honda,Fit
69,true,2021,true,blue,12900000,2.5,Nissan,Altima
70,false,2014,false,red,6500000,1.4,Hyundai,i10
71,true,2021,true,white,11900000,1.5,Mitsubishi,Mirage
72,false,2017,false,gray,8500000,2.2,Ford,Escape
73,true,2022,true,silver,18800000,4,Jeep,Wrangler
74,false,2018,false,black,10700000,2,Volkswagen,Jetta
75,true,2021,true,red,14500000,2.5,Chevrolet,Equinox
76,false,2014,false,white,6200000,1.4,Kia,Rio
77,true,2022,true,gray,12400000,2,Mazda,CX-30
78,false,2019,false,blue,9800000,2.5,Subaru,Forester
79,true,2021,true,black,13300000,3.6,Dodge,Durango
80,false,2015,false,silver,7200000,1.8,Ford,Focus
81,true,2022,true,white,16300000,2.5,Jeep,Grand Cherokee
82,false,2018,false,gray,10300000,2,Volkswagen,Passat
83,true,2021,true,red,14900000,2.5,Chevrolet,Blazer
84,false,2014,false,black,6400000,1.8,Kia,Soul
85,true,2022,true,blue,17700000,3,Mazda,CX-5
86,false,2017,false,white,9200000,2.4,Subaru,Outback
87,true,2021,true,gray,13900000,2,Dodge,Challenger
88,false,2016,false,black,7900000,2.4,Ford,Fusion
